epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,22054,1.29819,0.81692,1.24316,0.90646,0.77299,0.85421,0.54597,1.32992,0.69342,1.22565,0.0070795,0.0070795,0.0070795
61,22419.5,1.30477,0.81737,1.24772,0.90915,0.77141,0.85461,0.54712,1.32841,0.69013,1.22474,0.00703,0.00703,0.00703
62,22784.7,1.29704,0.81152,1.24039,0.9096,0.77154,0.85514,0.54741,1.32753,0.68853,1.22435,0.0069805,0.0069805,0.0069805
63,23151.6,1.30435,0.81429,1.24542,0.9094,0.77141,0.85612,0.54772,1.32701,0.68882,1.22426,0.006931,0.006931,0.006931
64,23516.4,1.30236,0.81691,1.2436,0.9087,0.7722,0.85719,0.54882,1.32596,0.68765,1.22388,0.0068815,0.0068815,0.0068815
65,23881.6,1.29462,0.80947,1.241,0.90855,0.77266,0.85788,0.54965,1.32427,0.68451,1.22331,0.006832,0.006832,0.006832
66,24247.2,1.29319,0.81197,1.24025,0.9083,0.77421,0.85868,0.55021,1.32345,0.68347,1.2232,0.0067825,0.0067825,0.0067825
67,24613,1.29568,0.80845,1.2383,0.90859,0.77566,0.85944,0.55048,1.32263,0.68278,1.22297,0.006733,0.006733,0.006733
68,24978.2,1.29803,0.81502,1.24178,0.90888,0.77562,0.86062,0.55147,1.32142,0.68167,1.22271,0.0066835,0.0066835,0.0066835
69,25344.4,1.29256,0.80607,1.24013,0.90637,0.77759,0.86142,0.55229,1.32028,0.68006,1.22229,0.006634,0.006634,0.006634
70,25717.6,1.28973,0.80663,1.23505,0.90946,0.77641,0.8622,0.55292,1.31831,0.67877,1.22182,0.0065845,0.0065845,0.0065845
71,26095.4,1.30091,0.80218,1.24014,0.90839,0.77643,0.86269,0.55343,1.31706,0.67843,1.22187,0.006535,0.006535,0.006535
72,26477,1.28543,0.80777,1.23241,0.90626,0.77785,0.86378,0.55473,1.31499,0.67771,1.22132,0.0064855,0.0064855,0.0064855
73,26855.8,1.29159,0.80567,1.23633,0.90767,0.77759,0.86422,0.55536,1.31346,0.67648,1.22082,0.006436,0.006436,0.006436
74,27235.7,1.29001,0.79667,1.23542,0.90556,0.77995,0.86471,0.5557,1.31202,0.6749,1.22064,0.0063865,0.0063865,0.0063865
75,27595,1.29648,0.80376,1.24067,0.9035,0.7835,0.86562,0.55705,1.31047,0.67274,1.22024,0.006337,0.006337,0.006337
76,27953.1,1.29391,0.79645,1.23614,0.90186,0.78469,0.86564,0.55747,1.30893,0.66963,1.21977,0.0062875,0.0062875,0.0062875
77,28331.3,1.2977,0.80429,1.23793,0.9059,0.78363,0.86708,0.5581,1.30797,0.66911,1.2199,0.006238,0.006238,0.006238
78,28710.5,1.28555,0.79487,1.23389,0.90323,0.78725,0.86755,0.55859,1.30672,0.66734,1.21952,0.0061885,0.0061885,0.0061885
79,29091.3,1.2944,0.80036,1.2372,0.90708,0.78481,0.86878,0.5597,1.3059,0.66817,1.21974,0.006139,0.006139,0.006139
80,29468.9,1.292,0.79727,1.23641,0.90817,0.78363,0.86912,0.56046,1.3041,0.66405,1.2195,0.0060895,0.0060895,0.0060895
81,29850.8,1.28937,0.79088,1.23308,0.90922,0.78389,0.86996,0.56113,1.30271,0.66483,1.2191,0.00604,0.00604,0.00604
82,30230.5,1.29252,0.80383,1.23593,0.90542,0.78731,0.8704,0.56124,1.30229,0.66479,1.21884,0.0059905,0.0059905,0.0059905
83,30611.3,1.28559,0.79367,1.2376,0.90743,0.78665,0.87054,0.56159,1.30148,0.66426,1.21832,0.005941,0.005941,0.005941
84,30992.2,1.28036,0.78526,1.23073,0.90658,0.78705,0.87034,0.5619,1.30171,0.66379,1.2187,0.0058915,0.0058915,0.0058915
85,31373.4,1.28396,0.79312,1.23081,0.9057,0.78915,0.8714,0.56273,1.30163,0.66618,1.21903,0.005842,0.005842,0.005842
86,31756.9,1.28638,0.79232,1.23646,0.90694,0.78915,0.87234,0.56299,1.30087,0.6663,1.21916,0.0057925,0.0057925,0.0057925
87,32140.4,1.27958,0.78843,1.23001,0.91135,0.78586,0.87276,0.56349,1.29994,0.66531,1.21908,0.005743,0.005743,0.005743
88,32523.3,1.28368,0.78339,1.22832,0.90307,0.79283,0.87338,0.5637,1.29948,0.66649,1.2191,0.0056935,0.0056935,0.0056935
89,32905.2,1.28723,0.79013,1.23267,0.90325,0.79309,0.87441,0.56448,1.2997,0.66807,1.21962,0.005644,0.005644,0.005644
90,33291.6,1.28326,0.78263,1.22944,0.90647,0.79256,0.87531,0.56509,1.29901,0.66712,1.21939,0.0055945,0.0055945,0.0055945
91,33661.8,1.27924,0.78201,1.22691,0.90896,0.79178,0.87603,0.56606,1.29908,0.66951,1.21984,0.005545,0.005545,0.005545
92,34032.7,1.27742,0.7822,1.22741,0.90909,0.79218,0.87644,0.56659,1.29905,0.66962,1.22024,0.0054955,0.0054955,0.0054955
93,34398.6,1.28787,0.78494,1.22879,0.91346,0.79099,0.87734,0.56727,1.29831,0.6682,1.22062,0.005446,0.005446,0.005446
94,34765.5,1.27663,0.78076,1.22588,0.91034,0.79322,0.87807,0.56837,1.29744,0.66708,1.22106,0.0053965,0.0053965,0.0053965
95,35133,1.27971,0.78667,1.22863,0.90925,0.79453,0.87895,0.56892,1.29681,0.6656,1.2209,0.005347,0.005347,0.005347
96,35499.9,1.27252,0.77994,1.224,0.91374,0.79322,0.87957,0.56966,1.29553,0.66509,1.22039,0.0052975,0.0052975,0.0052975
97,35866.2,1.27735,0.78718,1.22615,0.90986,0.79637,0.87984,0.56918,1.29514,0.66636,1.22005,0.005248,0.005248,0.005248
98,36233.3,1.27195,0.77238,1.22288,0.90775,0.79889,0.87997,0.56922,1.29582,0.66538,1.22027,0.0051985,0.0051985,0.0051985
99,36602.5,1.27524,0.77533,1.22562,0.90783,0.80045,0.88065,0.56989,1.29549,0.66691,1.22039,0.005149,0.005149,0.005149
100,36969.3,1.26865,0.77682,1.22343,0.90884,0.80027,0.88137,0.57002,1.29488,0.666,1.22009,0.0050995,0.0050995,0.0050995
101,37338.3,1.27246,0.77261,1.22477,0.90764,0.80172,0.88179,0.57038,1.29432,0.66607,1.22007,0.00505,0.00505,0.00505
102,37706.2,1.26872,0.77119,1.22259,0.91002,0.79849,0.88219,0.57097,1.29301,0.66551,1.21947,0.0050005,0.0050005,0.0050005
103,38072.8,1.27566,0.77631,1.2265,0.90861,0.80268,0.88281,0.57189,1.29195,0.665,1.21915,0.004951,0.004951,0.004951
104,38439.4,1.26183,0.76033,1.21657,0.90859,0.80309,0.88281,0.57233,1.29173,0.66491,1.21885,0.0049015,0.0049015,0.0049015
105,38805.8,1.2697,0.77164,1.2211,0.90963,0.80268,0.88314,0.57252,1.29144,0.66625,1.21877,0.004852,0.004852,0.004852
106,39172.2,1.27348,0.76825,1.2223,0.90848,0.80465,0.88351,0.57224,1.29151,0.66503,1.21887,0.0048025,0.0048025,0.0048025
107,39539.8,1.26474,0.76575,1.21767,0.90792,0.80623,0.8838,0.57256,1.29122,0.66499,1.21894,0.004753,0.004753,0.004753
108,39909.6,1.2606,0.76893,1.2178,0.9085,0.80739,0.88401,0.57264,1.29124,0.66427,1.21905,0.0047035,0.0047035,0.0047035
109,40276.7,1.27081,0.76891,1.22008,0.90929,0.80728,0.88432,0.57294,1.29133,0.66584,1.2193,0.004654,0.004654,0.004654
110,40645.3,1.25414,0.75048,1.21104,0.9111,0.80645,0.88474,0.57348,1.29045,0.662,1.21883,0.0046045,0.0046045,0.0046045
111,41016,1.26316,0.76017,1.21652,0.91227,0.80595,0.88474,0.57341,1.29023,0.6617,1.21871,0.004555,0.004555,0.004555
112,41394.8,1.2608,0.75682,1.21485,0.91341,0.80515,0.88503,0.57376,1.28978,0.66294,1.21862,0.0045055,0.0045055,0.0045055
113,41774.3,1.2559,0.7545,1.21077,0.91282,0.80557,0.88534,0.57438,1.28938,0.66397,1.21878,0.004456,0.004456,0.004456
114,42153.4,1.26546,0.76358,1.21967,0.91317,0.80543,0.88573,0.57439,1.28822,0.66349,1.21843,0.0044065,0.0044065,0.0044065
115,42534,1.26525,0.76256,1.21901,0.90982,0.80767,0.88562,0.5743,1.28745,0.66249,1.21809,0.004357,0.004357,0.004357
