epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,28189.3,1.0943,0.59288,1.11912,0.93936,0.87298,0.93534,0.6528,1.11138,0.5015,1.13409,0.008053,0.008053,0.008053
61,28667.6,1.08192,0.58995,1.1162,0.9404,0.87218,0.93542,0.65325,1.11089,0.50035,1.13404,0.00802,0.00802,0.00802
62,29067.5,1.08267,0.58283,1.11497,0.93894,0.87475,0.93554,0.65336,1.11001,0.4998,1.13354,0.007987,0.007987,0.007987
63,29546.4,1.08534,0.58408,1.11853,0.9387,0.87388,0.93528,0.65374,1.10916,0.49888,1.13319,0.007954,0.007954,0.007954
64,30022.5,1.08466,0.57867,1.11621,0.93964,0.87324,0.93535,0.65389,1.10831,0.49822,1.13286,0.007921,0.007921,0.007921
65,30500.9,1.07955,0.58076,1.11488,0.93898,0.87415,0.93557,0.65452,1.10773,0.49769,1.1325,0.007888,0.007888,0.007888
66,30976.5,1.08004,0.58233,1.11419,0.93894,0.87472,0.93553,0.65487,1.10725,0.49692,1.13214,0.007855,0.007855,0.007855
67,31421.3,1.07961,0.58337,1.11251,0.9386,0.8756,0.93535,0.65515,1.10675,0.49653,1.13194,0.007822,0.007822,0.007822
68,31873.2,1.07339,0.57627,1.10974,0.93859,0.87538,0.93587,0.65511,1.1061,0.49567,1.13183,0.007789,0.007789,0.007789
69,32352.4,1.07187,0.57765,1.11066,0.93919,0.87533,0.93581,0.65588,1.10522,0.49465,1.13139,0.007756,0.007756,0.007756
70,32828.9,1.06879,0.57409,1.11018,0.93907,0.87546,0.93604,0.65616,1.10427,0.49415,1.13084,0.007723,0.007723,0.007723
71,33305.6,1.0613,0.56783,1.10574,0.93986,0.87456,0.93605,0.65668,1.10361,0.49397,1.13041,0.00769,0.00769,0.00769
72,33783.1,1.06503,0.56891,1.10651,0.94044,0.87441,0.93662,0.65676,1.10368,0.49286,1.13019,0.007657,0.007657,0.007657
73,34195.9,1.06287,0.5705,1.10528,0.94061,0.87385,0.93657,0.65708,1.10335,0.49161,1.12989,0.007624,0.007624,0.007624
74,34673.1,1.06161,0.56864,1.10641,0.94225,0.87375,0.93681,0.65774,1.10268,0.49117,1.12949,0.007591,0.007591,0.007591
